,category,title,cash_price,store,link,created_at
50,notebooks,Notebook Lenovo Thinkpad E15 G3 Ryzen 7 5700U 8Gb SSD 256Gb...,989489.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-thinkpad-e15-g3-ryzen-7-5700u-8gb-ssd-256gb-15-6-free.html,2023-08-28 13:20:35
51,notebooks,Notebook  Gamer ASUS TUF Gaming F15 FX506LHB-HN324W i5 10300H...,994109.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-tuf-fx506lhb-i5-10300h-ssd-512gb-8gb-gtx1650-15-6-144hz-w11.html,2023-08-28 13:20:35
52,notebooks,Notebook Bangho Game Master 15Z12 i5 12500H 16Gb 1Tb GTX 1650...,994990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-game-master-15z12-i5-12500h-16gb-1tb-gtx-1650-15-6-free.html,2023-08-28 13:20:35
53,notebooks,Notebook Lenovo Thinkpad E14 G2 Core i7 1165G7 8Gb SSD 256Gb 14...,1058519.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-thinkpad-e14-g2-core-i7-1165g7-8gb-ssd-256gb-14-free.html,2023-08-28 13:20:35
54,notebooks,Notebook Bangho Game Master 15Z12 Core i5 12500H 16Gb SSD 1Tb...,1129990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-game-master-15z12-core-i5-12400h-16gb-ssd-1tb-rtx-3050-15-6-free.html,2023-08-28 13:20:35
55,notebooks,Notebook Bangho Game MAster 15Z12 Core i5 12500H 16Gb 1Tb GTX...,1190990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-game-master-15z12-core-i5-12500h-16gb-1tb-gtx-1650-15-6-w11.html,2023-08-28 13:20:35
56,notebooks,Notebook Gamer ASUS TUF Gaming A15 FA506ICB-HN118W Ryzen 7...,1276389.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-tuf-fa506icb-hn118w-ryzen-7-4800h-16gb-ssd-512gb-rtx-3050-15-6-w11.html,2023-08-28 13:20:35
57,notebooks,Notebook Bangho Game Master 15Z12 i7 12700H 32Gb SSD 2Tb RTX...,1449990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-game-master-15z12-i7-12700h-32gb-ssd-2tb-rtx-3060-15-6-144hz-free.html,2023-08-28 13:20:35
58,notebooks,Notebook Apple Macbook AIR M1 13 8Gb 512Gb Silver,1457409.0,venex,https://www.venex.com.ar//notebooks/notebook-apple-macbook-air-m1-13-8gb-512gb-silver.html,2023-08-28 13:20:35
59,notebooks,Notebook Gigabyte G5 15 i5 12500H 16Gb SSD NVME 512Gb RTX 3060...,1499999.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-g5-15-i5-12500h-16gb-ssd-nvme-512gb-rtx-3060-15-6-free.html,2023-08-28 13:20:35
60,notebooks,Notebook Apple Macbook Air M1 13 8Gb 512Gb Space Grey,1510339.0,venex,https://www.venex.com.ar//notebooks/notebook-apple-macbook-air-m1-13-8gb-512gb-space-grey.html,2023-08-28 13:20:35
