category,title,cash_price,store,link,brand,model,processor,memory,storage,created_at
notebooks,Notebook Lenovo V15 G2 I7 1165G7 16Gb 1Tb Ssd 240Gb 15.6 Free,899990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i7-1165g7-16gb-1tb-ssd-240gb-15-6-free.html,Lenovo,82KB00F7AR+8GB+SSD240GB,Intel Core i7 1165G7,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Bangho Game Master 15Z12 Core I5 12500H 16Gb Ssd 1Tb...,929990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-game-master-15z12-core-i5-12400h-16gb-ssd-1tb-rtx-3050-15-6-free.html,Bangho,G62S6JGU53XFXX6FXC20,Intel Core i5 12500H,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Lenovo Thinkpad L15 G3 Ryzen 7 5825U 8Gb Ssd 512Gb...,929990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-l15-g3-ryzen-5-5825u-8gb-ssd-512gb-15-6-fhd-free.html,Lenovo,21C8S1C100,AMD Ryzen 7 5825U,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook  Gamer Asus Tuf Gaming F15 Fx506Lhb-Hn324W I5 10300H...,994109.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-tuf-fx506lhb-i5-10300h-ssd-512gb-8gb-gtx1650-15-6-144hz-w11.html,Gamer,90NR03U2-M00D20,Intel Core i5 10300H,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Lenovo Thinkpad E14 G2 Core I7 1165G7 8Gb Ssd 256Gb 14...,1058519.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-thinkpad-e14-g2-core-i7-1165g7-8gb-ssd-256gb-14-free.html,Lenovo,20TBS0EL00,Intel Core i7 1165G7,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Bangho Game Master 15Z12 I7 12700H 32Gb Ssd 2Tb Rtx...,1244990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-game-master-15z12-i7-12700h-32gb-ssd-2tb-rtx-3060-15-6-144hz-free.html,Bangho,G62S7IHP63XFXX7FXC20,Intel Core i7 12700H,32 Gigas,32 Gigas,2023-09-04 10:49:24
notebooks,Notebook Gamer Asus Tuf Gaming A15 Fa506Icb-Hn118W Ryzen 7...,1276389.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-tuf-fa506icb-hn118w-ryzen-7-4800h-16gb-ssd-512gb-rtx-3050-15-6-w11.html,Gamer,90NR0667-M00E30,Intel Ryzen 7 4800H,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Bangho Game Master 15Z12 Core I7 12700H 32Gb Ssd 2Tb...,1399990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-game-master-15z12-core-i7-12700h-32gb-ssd-2tb-rtx-3060-15-6-144hz-w11.html,Bangho,G62S7IHP63XFXX7HXC20,Intel Core i7 12700H,32 Gigas,32 Gigas,2023-09-04 10:49:24
notebooks,Notebook Apple Macbook Air M1 13 8Gb 512Gb Silver,1457409.0,venex,https://www.venex.com.ar//notebooks/notebook-apple-macbook-air-m1-13-8gb-512gb-silver.html,Apple,A2337,AMD None M1,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Gigabyte G5 15 I5 12500H 16Gb Ssd Nvme 512Gb Rtx 3060...,1499999.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-g5-15-i5-12500h-16gb-ssd-nvme-512gb-rtx-3060-15-6-free.html,Gigabyte,G5,Intel Core i5 12500H,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Gamer Asus Rog Zephyrus G14 Ga401Ihr-K2053T Ihr Ryzen...,1534109.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-rog-zephyrus-ga401-ihr-ryzen-7-4800hs-16gb-512gb-1650-14-w10.html,Gamer,GA401IHR-K2053T,AMD Ryzen 7 4800H,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Apple Macbook Pro M1 13 Inches 8Gb 256Gb Space Grey,1603159.0,venex,https://www.venex.com.ar//notebooks/notebook-apple-macbook-pro-m1-13-8gb-256gb-space-grey.html,Apple,A2338,AMD None M1,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Apple Macbook Pro M1 13 8Gb 512Gb Space Grey,1670669.0,venex,https://www.venex.com.ar//notebooks/notebook-apple-macbook-pro-m1-13-8gb-512gb-space-grey.html,Apple,A2338,AMD None None,8 Gigas,8 Gigas,2023-09-04 10:49:24
